job_duty,job_name
"三年以上工作经验，掌握Python、Golang至少一种编程语言，有良好的的工程研发习惯和相应的项目落地经验；
 熟练掌握一种以上数据库，如Mysql、Redis、MongoDB等，熟练使用 Linux、MQ、ES等；
熟悉微服务架构和治理，具有丰富的服务治理、服务编排、服务调度等实战经验；
具备良好的沟通能力和团队协作能力，具备较好的系统化分析能力，对技术和业务有前瞻性思考；
熟悉云原生周边生态（Docker、Kubernetes、OAM、Helm、Service Mesh等），了解Kubernetes CRD Operator扩展机制，有云原生相关研发经验者优先；
有Activity、Go-WorkFlow等工作流程引擎开发经验，熟悉业界标准BMPN2.0规范者优先；


注：此岗位为腾讯旗下全资子公司岗位。",22989-云原生产品市场研发工程师（CSIG全资子公司）（武汉）
"本科及以上学历，计算机相关专业；
1年以上Golang/C/C++或Python的开发经验；
扎实的计算机基础知识（操作系统、软件工程、设计模式、数据结构、数据库系统、网络安全）；
好学、责任心强、思维缜密敏捷、良好的对外沟通和团队协作能力；
有云计算相关开发经验（如serverless/Baas等）优先。
注：此岗位为腾讯集团旗下全资子公司编制岗位。 ",22989-腾讯云云开发后台开发工程师（CSIG全资子公司）（武汉）
"本科及以上学历，计算机相关专业；
2年以上Web前端开发经验；
能够熟练运用HTML、CSS、JavaScript构建高性能的web应用程序；
能够熟练运用至少一款主流的JS框架（如React），具有良好的代码风格、接口设计与程序架构；
有Node.js和小程序开发经验者更优；
思路清晰，具备良好的沟通能力和团队协作精神；
注：此岗位为腾讯集团旗下全资子公司编制岗位。 通过腾讯云从业资格证或同等资格认证的优先录取",22989-腾讯云Serverless产品前端开发工程师（CSIG全资子公司）（西安）
"1、具备突出的技术创新力，前瞻性，对新技术有热情，乐于学习和分享
2、熟悉 kubernetes 核心组件以及周边生态，精通 kubernetes 各种特性，具备各模块排障能力。
3、熟悉关系型数据库与分析型数据库原理和机制，熟悉数据库备份恢复、高可用、灾备恢复。
4、熟悉大数据hadoop/flink等相关组件的运维能力建设与故障分析定位与恢复。
5、熟悉大规模集群下的运维能力建设与开发，有过运维平台子系统落地经验。
6、有大型互联网运维开发、数据库架构规划、大数据或大规模 kubernets 集群运维经验，较强的故障定位和处理能力。
7、熟悉MongoDB，NoSQL，消息队列，NewSQL 的优先。
8、熟悉Python、golang任意一种语言优先，具备运维自动化建设能力。

此岗位为腾讯集团旗下全资子公司编制岗位，通过腾讯云从业资格证或同等资格认证的优先录取",22989-云原生私有化技术专家（武汉/西安/重庆）（CSIG全资子公司）
"1. 三年以上研发经验，熟悉shell 与 linux、能独立完成后台系统的开发、部署、维护； 
2. 熟练掌握python、go开发语言一种，有良好的的工程研发习惯并有对应的项目落地经验； 
3. 了解数据库原理，熟练掌握一种以上数据库，如Mysql、Redis、MongoDB等； 
4. 从事过运维开发工作，对部署、发布、监控、报警、运维自动化各系统技术栈有深入的了解，参与或负责开发的运维系统所管理服务器节点数不低于2000。 
5、对工程质量、架构、系统性能有极高追求并有优化经验。 
6、对代码标准、测试覆盖、代码结构有偏执的极致追求。 通过腾讯云从业资格证或同等资格认证的优先录取。

注：此岗位为腾讯集团旗下全资子公司编制岗位",22989-专有云运维平台研发工程师（武汉）(全资子公司)
"1）计算机、数学、人工智能等相关领域硕士及以上学历；
2）有扎实的机器学习、特别是深度学习基础，掌握基于深度神经网络的监督学习、表示学习等知识和方法，有推荐系统、强化学习相关应用经验者优先；
3）熟练使用主流深度学习框架，如Tensorflow、PyTorch、Mxnet等，熟悉Python、Scala、C、C++、Golang等至少一种编程语言，对大数据计算框架如Hadoop、Spark有一定的经验；
4）对技术有热情，积极跟踪机器学习新技术并推动落地应用；
5）有较强的研究创新能力，在ICML/NIPS/SIGKDD/AAAI/ICLR/IJCAI/WWW等顶会或期刊发表过机器学习相关论文者优先；
6）有良好的沟通能力，具有高度的责任心和团队合作精神，积极主动，乐于分享。",48547-机器学习算法高级工程师
"本科以上学历，计算机相关专业，有3年以上游戏测试经验；
具有良好的合作意识和规划能力；
有全局观，对质量体系、流程、测试风险把握、测试范畴的定义有很好的理解和应用；
具有移动互联网相关经验(Android、iOS)； 
熟悉主流操作系统原理（Windows、Linux、Android、iOS）、网络协议等，有过前后端性能、安全、兼容等专项测试经验； 
熟悉至少一门开发或者脚本语言，C++、C、C#、Java、PHP、Python等；
熟悉腾讯内部的游戏测试流程者优先；
",43470-资深游戏测试工程师
"1、计算机或数学相关专业本科及以上学历，3年以上大数据开发经验； 
2、基础知识扎实、充满学习热情，能够熟练掌握java/scala/python/go等至少一门开发语言，并熟练应用SQL
3、熟练应用离线相关的大数据套件，包括： hadoop/Hive/Spark/MapReduce等
4、熟练应用实时相关的大数据套件，包括： flink/storm/sparkstreaming等
5、熟练使用clickhouse/druid/presto/mysql等OLAP（或OLTP）计算引擎
6、能够搭建数据仓库、结合业务制定数据维度和指标，并从不同维度对数据指标进行全方位监控治理
7、有较好沟通能力，需要和公司内外不同平台进行数据沟通、合作和对接",38743-游戏生态战略合作中心大数据开发工程师
"1. 精通C语言，熟悉一种或者多种脚本语言，如shell、python等；
2. 深刻理解操作系统原理，有较好的系统架构和设计能力；
3. 有多核平台下开发及性能调优经验，如Cavium、DPDK等；或有丰富的高性能服务器网络编程经验；
4. 了解云网络业务和虚拟网络技术，会让你更具优势；例如：VPC、SLB等；
5. 了解P4，或者有类似可编程网络的相关背景，有SDN或者有相关的项目经历等背景是加分项；
6、熟悉网络协议，网络架构，系统软件开发，分布式系统，SDN等任一方向者优先。

注：此岗位为腾讯集团旗下全资子公司编制岗位，通过腾讯云从业资格证或同等资格认证的优先录取。",22989-腾讯云网络研发工程师（CSIG全资子公司）（西安）
" 1. 2 年以上基础设施/云计算后台开发经验 
2. 熟悉Golang或其他任意主流编程语言，Coding、Debug 能力强；
 3. 有容器、k8s或其他云平台开发经验者优先； 
4. 有存储、大数据、AI、通用计算等相关经验者优先；
 5. 有任意云计算/云原生相关开源项目经验者优先(Linux Kernel/Etcd/Prometheus/ELK/Istio等)；
 6. 熟悉 AWS/Google Cloud 等云计算厂商产品优先；
 7. 有良好的团队合作，沟通、表达能力，严谨的工作态度与高质量意识；
 8. 对新技术敏感，求知欲强，能快速学习并具备较强的技术领悟能力。 

注：此岗位为腾讯集团旗下全资子公司编制岗位，通过腾讯云从业资格证或同等资格认证的优先录取。",22989-腾讯云容器后台开发工程师(CSIG全资子公司)（西安）
